"Checkbox","Secteur_activite","Forme_juridique","Code_Activite_Compte","Libelle_Activite_Compte","Code_Centre","Libelle_Centre","Code_Region","Libelle_Region","Poste_Itinerant","Code_Nature","Libelle_Nature","Code_Nature_juridique_Client","Libelle_Nature_juridique_Client","Critere_SLA","Activite_Batiment","icone","Symptome_Reference","Parametre_Contrat_Type","Limite_Contrat_Type","Code_Domaine","Libelle_Domaine","Code_Sous-domaine","Libelle_Sous-domaine","Contractuel","Importance_Equipement","Criticite_Demande","Priorite_Espace","Code_Titre","Libelle_Titre","Langue","Outil_Energies","Code_Occupation","Libelle_Occupation ","Type_Operation","Zone_Astreinte","Type_Prestations_FM","Classification_Site","Statut_Equipement","Etat_Fonctionnement","Etat_Sante","Origine","Territoire","Maintenance_Type","Code_Sous_Famille","Libelle_Sous_Famille","Code_Famille","Libelle_Famille"
"0","Agriculture","Association","201","","Italie","Italie","Italie","Italie","Posté","1","","100","","FM_SymptomReference__c","AdministrationJail","https://fontawesome.com/icons?d=gallery&m=free","Chaud","Lien","Limites Contrat","010","Clim-Ventil-Chauffage","010.10","","Contrat","E0","C0","P0","1","","FR","None","SingleTenant","MonoLocataire","New","Z1","MonoTechnique","LaborCode","Purchased","None","None","Planned","Agence_CVL","REGULATORY_CONTROL","010.10.AGA.ALI","Alimentation Gaz","010.10.AGA","Alimentation Gaz"
"1","Apparel","EPEH","202","","Agence FM - Alpes","Agence FM - Alpes","Direction FM Sud Est","Direction FM Sud Est","Itinérance","2","","110","","FM_LocationPriority__c","Banking","","Froid","Service","Limites OT","020","Electricité Courants Forts","010.20","","Hors Contrat","E1","C1","P1","2","","DE","Other","MultiTenant","MultiLocataire","Renovation","Z2","MultiTechnique","ERP","Shipped","Good","Bad","Unplanned","Agence_Normandie","REGULATORY_PREVENTIVE","010.10.BVA.BAC","Bâche condensat CPCU","010.10.BVA","Bâche condensat CPCU"
"","Banking","EPIC","204","","Agence FM - Rhône","Agence FM - Rhône","Direction FM Grand Ouest","Direction FM Grand Ouest","","3","","210","","FM_Criticity__c","Community","","Mal Tete","Symptome","Principal","030","Electricité courants Faibles","010.30","","Sans Objet","E2","C2","P2","3","","EN","GTB","","","Reorganization","Z3","FullFM","IGH","Installed","Bad","Medium","","Agence_NP2C","NO_REGULATORY_PREVENTIVE","010.10.CFC.CUV","Cuve à fioul chaudières","010.10.CFC","Cuve à fioul chaudières"
"","Biotechnology","EURL","205","","Agence FM - PACA","Agence FM - PACA","Direction FM IDF","Direction FM IDF","","","","211","","FM_AssetImportance__c","Defense","","Panne","Principal","","031","Sécurité Incendie","010.40","","","E3","C3","P3","4","","ES","Hypervision","","","NotApplicable","Z4","Other","SEVESO","Registered","","Good","","Agence_Picardie","REGULATORY_AND_NO_REGULATORY_PREVENTIVE","010.10.CFU.CON","Conduits de fumée","010.10.CFU","Conduits de fumée"
"","Chemicals","Fondation","206","","Agence FM - Occitanie","Agence FM - Occitanie","Direction FM Nord Est","Direction FM Nord Est","","","","212","","FM_VIP__c","Education","","Référence","","","040","Process Cuisine","020.10","","","","","P4","5","","IT","RemoteReading","","","","Z5","","","Obsolete","","New","","EST","","010.10.CHA.BOI","Bois","010.10.CHA","Chaudières"
"","Communications","GIE","207","","Agence FM - Aquitaine","Agence FM - Aquitaine","Direction DPG et Travaux TCE","Direction DPG et Travaux TCE","","","","220","","","Hotel","","Symptôme","","","042","Process Pharmacie","020.20","","","","","P5","6","","PT","","","","","Z6","","","","","Ko","","Fixes_CVL","","010.10.CHA.ELE","Electrique","010.10.CLD","Caloduc"
"","Construction","teri","208","","Agence FM - Normandie","Agence FM - Normandie","EQUANS SERVICE Inc.","EQUANS SERVICE Inc.","","","","221","","","Industrial","","Trop chaud","","","044","Process Stérilisation","020.30","","","","","","7","","PL","","","","","Z7","","","","","","","Fixes_Normandie","","010.10.CHA.FIO","Fioul","010.10.CPC","Compteurs et sous compteurs Energie"
"","Consulting","Profession libérale","209","","Agence FM - Centre Val de Loire","Agence FM - Centre Val de Loire","BYES GTB","BYES GTB","","","","222","","","Health","","Trop froid","","","046","Process Médical","020.40","","","","","","","","RO","","","","","Z8","","","","","","","Fixes_NP2C","","010.10.CHA.GAZ","Gaz","010.10.CRG","Contrôle réglementaire Gaz"
"","Data Center","SA","210","","Agence FM - BPL & PCL","Agence FM - BPL & PCL","Autres BYES","Autres BYES","","","","223","","","Tertiary","","","","","048","Process Blanchisserie","030.50","","","","","","","","CZ","","","","","Z9","","","","","","","Fixes_Picardie","","010.10.CHA.MIX","Mixte Fioul Gaz","010.10.ECP","Echangeur à plaques"
"","Education","SAEM","211","","Agence FM - IDF1","Agence FM - IDF1","Autres EQUANS","Autres EQUANS","","","","224","","","","","","","","050","Process Archive","030.60","","","","","","","","","","","","","Z10","","","","","","","GEBFC","","010.10.CHA.MUR","Murale","010.10.ECV","Echangeur vapeur"
